stem,clean,noisy,enh,CBAK,COVL,CSIG,DNSMOS_BAK,DNSMOS_OVR,DNSMOS_SIG,LLR,PESQ,SEG_SNR,SI-SNRi,SI_SDR,SNR_IN,SNR_OUT,SNRi,STOI,WSS
p232_001,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_001.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_001.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_001.wav,2.8738030959628214,3.390214851960779,4.092602900087992,3.9390673637390137,3.2751717567443848,3.5148675441741943,0.37177613963895884,2.7129478454589844,2.228139777333063,-2.2649909162083866,13.205959607767664,15.473800887487322,6.116305475179926,-9.357495412307395,0.8806573113999253,28.194111448365213
p232_002,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_002.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_002.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_002.wav,3.091471333597803,3.6228310756133917,4.402387874233185,4.124394416809082,3.5521223545074463,3.8849611282348633,0.2295091942134634,2.8102474212646484,3.6521024968358438,-0.08700776774127306,11.232686520237827,11.311187574456959,5.976046983760534,-5.335140590696425,0.9389560441322937,16.558484438193855
p232_003,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_003.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_003.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_003.wav,2.8708737413912573,3.418464091067302,4.191530221268285,4.069610118865967,3.2891526222229004,3.62652325630188,0.29702104326611756,2.632174491882324,1.9215227780511663,3.401619179662517,10.133485011436163,6.7148582931324885,5.898492868425013,-0.8163654247074756,0.9494638480988035,20.337371535102434
p232_005,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_005.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_005.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_005.wav,2.1979009408617416,2.1302550794677875,2.8563822726822075,2.6949551105499268,3.9064042568206787,3.7865514755249023,0.7937240167489203,1.4626011848449707,1.5798373375049535,5.162671737932073,7.018143279139236,1.8527002911409471,5.868727139771824,4.016026848630877,0.8646632230046036,33.53602539385234
p232_006,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_006.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_006.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_006.wav,2.7287698099167272,2.8623692916306673,3.603067167322316,3.4048521518707275,2.9763309955596924,3.265882968902588,0.5404936357814648,2.1303811073303223,3.909561886713737,-5.062755248967852,11.785337560341416,16.855944699955845,6.1973368637066395,-10.658607836249207,0.9360573360446885,24.264965464304556
p232_007,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_007.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_007.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_007.wav,2.3859432420626936,2.3045223867156643,3.076403510907903,3.383925437927246,3.327317953109741,3.9047048091888428,0.6899325951734328,1.5610125064849854,3.1528008926797155,-0.766588137489947,11.042782393665917,11.813925678151318,6.527278380818503,-5.286647297332815,0.9141627475874842,27.54959889656453
p232_009,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_009.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_009.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_009.wav,2.4659772967244025,2.587284613118039,3.3606455376517035,3.3864052295684814,3.3755133152008057,3.655092477798462,0.5876198665137603,1.832397222518921,2.17500323357152,3.123342290950541,9.890909773450922,6.784228972442677,5.9751752304483325,-0.8090537419943447,0.9335275182495821,25.847682764949603
p232_010,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_010.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_010.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_010.wav,1.7436596427165116,1.5413544944091635,1.9367653181807083,2.3205106258392334,2.259910821914673,3.2285797595977783,1.428606640821125,1.2938488721847534,-2.318299533153227,3.4663861497721276,4.348259109159969,0.9068956931466065,5.043704177876554,4.136808484729948,0.8239455196112596,51.821035371306735
p232_011,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_011.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_011.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_011.wav,2.842338048275851,3.080292038777636,3.869608228993172,3.929269552230835,3.521005630493164,3.828669786453247,0.4021884232473162,2.2806520462036133,4.157123109590028,-4.672447848439006,12.12938139403336,16.805718614479474,6.157218280771887,-10.648500333707588,0.9360269155926987,20.530340816235366
p232_012,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/clean_test/p232_012.wav,/home/vpopescu/projects/ultra-low-power-se/datasets/datasets/voicebank-demand/16k/noisy_test/p232_012.wav,/tmp/exp_fc_base_full_eval_rxy2ymyx/p232_012.wav,2.8471413553874445,3.091701495904628,3.82537968544035,3.519056558609009,3.2179014682769775,3.6193201541900635,0.49089157407503775,2.3408703804016113,3.6439363166305507,-0.8262799556388369,11.076524426730881,11.895845069509301,6.079196536219731,-5.81664853328957,0.9375723768850532,19.33752491317861
