epoch,delta_abs_mean,loss,lr,mae,val_delta_abs_mean,val_loss,val_mae
0,1.2908746004104614,1.1560049057006836,0.001,0.879843533039093,1.2146103382110596,0.7891023755073547,0.7443805932998657
1,1.186934232711792,0.7262737154960632,0.001,0.8662201762199402,1.1959103345870972,0.7143574357032776,1.1497632265090942
2,1.183432936668396,0.6596056222915649,0.001,1.1390339136123657,1.1550413370132446,0.6694055795669556,0.9899056553840637
3,1.1942909955978394,0.6248504519462585,0.001,1.4229962825775146,1.252118706703186,0.6397980451583862,1.6568083763122559
4,1.2124930620193481,0.5999825596809387,0.001,1.5715092420578003,1.2105158567428589,0.6157393455505371,1.5720397233963013
5,1.2007402181625366,0.59053635597229,0.001,1.500752568244934,1.2028379440307617,0.6085959672927856,1.4678537845611572
6,1.2110412120819092,0.5634527206420898,0.001,1.66692054271698,1.1799342632293701,0.5938979387283325,1.4974853992462158
7,1.1847517490386963,0.5492176413536072,0.001,1.6760729551315308,1.2403331995010376,0.5873146653175354,1.819044589996338
8,1.17007577419281,0.5405797362327576,0.001,1.7106972932815552,1.190114974975586,0.5738726854324341,1.804518699645996
9,1.116830825805664,0.5327336192131042,0.001,1.6816051006317139,1.1190072298049927,0.5676946043968201,1.6289088726043701
10,1.134892225265503,0.5241491794586182,0.001,1.7826772928237915,1.0966154336929321,0.5665866136550903,1.6793283224105835
11,1.0219329595565796,0.5132779479026794,0.001,1.4722096920013428,1.0390567779541016,0.5620746612548828,1.426472783088684
12,0.936186671257019,0.5091959238052368,0.001,0.7678304314613342,0.921081006526947,0.5617951154708862,0.866791844367981
13,0.9309747815132141,0.4947372376918793,0.001,0.8284507989883423,0.9342207312583923,0.5537128448486328,0.5910400152206421
14,0.9175329804420471,0.48727285861968994,0.001,0.7034994959831238,0.9218758940696716,0.5499164462089539,0.7029730081558228
15,0.9085748791694641,0.4760481119155884,0.001,0.5785729885101318,0.9359837770462036,0.5570670366287231,0.5251294374465942
16,0.9118155241012573,0.482462078332901,0.001,0.586599588394165,0.9021174907684326,0.5536910891532898,0.6053786277770996
17,0.8863380551338196,0.46580442786216736,0.001,0.597830057144165,0.8983184099197388,0.5487891435623169,0.5718322396278381
18,0.881416916847229,0.46447381377220154,0.001,0.5606866478919983,0.8926991820335388,0.5573421716690063,0.5422941446304321
19,0.8703272342681885,0.45341038703918457,0.001,0.539729654788971,0.8822370767593384,0.5501007437705994,0.5011395215988159
20,0.8557265400886536,0.4536052942276001,0.001,0.566289484500885,0.8635537028312683,0.5455609560012817,0.5393362045288086
21,0.8610635995864868,0.45347344875335693,0.001,0.5667372345924377,0.8648233413696289,0.5476000308990479,0.5545508861541748
22,0.8419113159179688,0.4446624219417572,0.001,0.5898762941360474,0.8490550518035889,0.5501238703727722,0.5647865533828735
23,0.8305225968360901,0.43811458349227905,0.001,0.5659939050674438,0.8210073113441467,0.5489575862884521,0.558029055595398
24,0.8196210861206055,0.4208047091960907,0.0005,0.547253429889679,0.8259908556938171,0.5467929244041443,0.5334828495979309
25,0.8061184883117676,0.4074877202510834,0.0005,0.5295348763465881,0.8006340861320496,0.5471289753913879,0.5407134294509888
26,0.7984929084777832,0.4080563187599182,0.0005,0.5120434761047363,0.8147218823432922,0.5473839640617371,0.5035266280174255
27,0.7938320636749268,0.3954029977321625,0.00025,0.501924991607666,0.7945727705955505,0.5434025526046753,0.5028476119041443
28,0.7778847813606262,0.3845352232456207,0.00025,0.510987401008606,0.7815070152282715,0.5424322485923767,0.5181622505187988
29,0.7673853635787964,0.38778156042099,0.00025,0.5143601298332214,0.761613130569458,0.5421730875968933,0.5138065814971924
30,0.761955201625824,0.3883896768093109,0.00025,0.5166015028953552,0.7684305906295776,0.5477436780929565,0.5120810866355896
31,0.7546781897544861,0.3845387399196625,0.00025,0.5113832950592041,0.7610983848571777,0.5486196279525757,0.5256801247596741
32,0.7397692203521729,0.3782361149787903,0.00025,0.5217400193214417,0.750378429889679,0.5470342040061951,0.5248486995697021
33,0.7367634177207947,0.37116381525993347,0.000125,0.521240234375,0.7465572953224182,0.5468505620956421,0.5294641852378845
34,0.7348565459251404,0.3691427707672119,0.000125,0.5201203227043152,0.7437645196914673,0.5464894771575928,0.5266402959823608
35,0.7286292314529419,0.3665035367012024,0.000125,0.5206000804901123,0.7423772811889648,0.5477825403213501,0.5362100005149841
36,0.7296432256698608,0.3672238290309906,6.25e-05,0.5254008173942566,0.7362106442451477,0.5461962223052979,0.5428020358085632
37,0.7281751036643982,0.36548274755477905,6.25e-05,0.5236932635307312,0.7392942309379578,0.5470355153083801,0.5402524471282959
