epoch,delta_abs_mean,loss,lr,mae,val_delta_abs_mean,val_loss,val_mae
0,1.2330206632614136,0.6748200058937073,0.001,1.800508737564087,1.3090165853500366,0.5760120153427124,1.9130258560180664
1,1.304107904434204,0.5136752128601074,0.001,1.935077428817749,1.3022234439849854,0.5187786817550659,1.7660804986953735
2,1.3077366352081299,0.4868800938129425,0.001,1.956639289855957,1.293990969657898,0.49794360995292664,1.8423665761947632
3,1.3078234195709229,0.4628230035305023,0.001,1.996683120727539,1.3245594501495361,0.4869874119758606,1.8985310792922974
4,1.3105196952819824,0.459485799074173,0.001,1.983644723892212,1.3224743604660034,0.4656801223754883,1.87632155418396
5,1.3095484972000122,0.44258248805999756,0.001,1.9862120151519775,1.3025729656219482,0.45693448185920715,1.8889358043670654
6,1.3117258548736572,0.43260982632637024,0.001,1.993333101272583,1.3058760166168213,0.4500599801540375,1.870172381401062
7,1.3110311031341553,0.4270187318325043,0.001,1.9777143001556396,1.3106663227081299,0.44705837965011597,1.8521500825881958
8,1.3076187372207642,0.43021225929260254,0.001,1.956330418586731,1.3131827116012573,0.4480207562446594,1.9437183141708374
9,1.3081953525543213,0.41880348324775696,0.001,1.9954078197479248,1.313413143157959,0.439893901348114,1.9178147315979004
10,1.3044443130493164,0.4153153598308563,0.001,1.9914934635162354,1.2931089401245117,0.435852587223053,1.904758095741272
11,1.304413080215454,0.41092216968536377,0.001,1.9846214056015015,1.2942849397659302,0.43673527240753174,1.9094836711883545
12,1.3047360181808472,0.40190181136131287,0.001,2.0169942378997803,1.3006787300109863,0.4308619797229767,1.9128873348236084
13,1.29830002784729,0.4023098945617676,0.001,2.007742166519165,1.2977327108383179,0.4325947165489197,1.907395839691162
14,1.2908350229263306,0.4002528786659241,0.001,1.9906525611877441,1.2936770915985107,0.4289977252483368,1.8986843824386597
15,1.2882893085479736,0.3911878168582916,0.001,2.0025758743286133,1.2890453338623047,0.4258495271205902,1.920297384262085
16,1.2872644662857056,0.3933787941932678,0.001,1.9885082244873047,1.2893153429031372,0.42729222774505615,1.943469762802124
17,1.2855184078216553,0.394282728433609,0.001,1.9862241744995117,1.2859448194503784,0.42375314235687256,1.8351854085922241
18,1.2838701009750366,0.3935164213180542,0.001,1.9793254137039185,1.2863787412643433,0.4357970058917999,1.878441572189331
19,1.2802475690841675,0.3902009129524231,0.001,2.01383376121521,1.2674204111099243,0.4221741557121277,1.8789291381835938
20,1.2778213024139404,0.3823033571243286,0.001,2.007352828979492,1.2721757888793945,0.41944241523742676,1.8306876420974731
21,1.2732044458389282,0.3875325620174408,0.001,1.9683430194854736,1.262757420539856,0.4191209077835083,1.8900926113128662
22,1.2698620557785034,0.3811565339565277,0.001,1.9832161664962769,1.266381025314331,0.42260873317718506,1.9006832838058472
23,1.2616630792617798,0.3819940686225891,0.001,1.9617893695831299,1.2633678913116455,0.4166629910469055,1.863519310951233
24,1.260851263999939,0.3812565207481384,0.001,1.9624756574630737,1.266219139099121,0.41884714365005493,1.8744652271270752
25,1.2571736574172974,0.3812924027442932,0.001,1.946737289428711,1.251262903213501,0.4221402108669281,1.8537795543670654
26,1.2537950277328491,0.38098403811454773,0.001,1.9280556440353394,1.2528311014175415,0.41830456256866455,1.8480831384658813
27,1.2480565309524536,0.36763182282447815,0.0005,1.920992136001587,1.2458668947219849,0.41227275133132935,1.848100185394287
28,1.2457330226898193,0.36315175890922546,0.0005,1.8953521251678467,1.2463351488113403,0.41192856431007385,1.8521990776062012
29,1.2401129007339478,0.36245670914649963,0.0005,1.8852790594100952,1.2344461679458618,0.41418081521987915,1.7864691019058228
30,1.240126609802246,0.3597729802131653,0.0005,1.8964083194732666,1.2341781854629517,0.41236329078674316,1.7792658805847168
31,1.2364740371704102,0.36016738414764404,0.0005,1.8922816514968872,1.2371776103973389,0.417489230632782,1.8112998008728027
32,1.2359856367111206,0.353790819644928,0.00025,1.9149203300476074,1.2322158813476562,0.411335289478302,1.8225538730621338
33,1.2310246229171753,0.3526487350463867,0.00025,1.8970664739608765,1.229158878326416,0.41110578179359436,1.796265959739685
34,1.230515480041504,0.3530256748199463,0.00025,1.8920166492462158,1.2246057987213135,0.4116846024990082,1.789538860321045
35,1.2242439985275269,0.3555130660533905,0.00025,1.8454954624176025,1.219234824180603,0.41214436292648315,1.7446088790893555
36,1.2223502397537231,0.3562014102935791,0.00025,1.8329427242279053,1.2132221460342407,0.41240066289901733,1.7232486009597778
37,1.2234019041061401,0.34860754013061523,0.000125,1.8470689058303833,1.2115458250045776,0.4117518961429596,1.709715723991394
38,1.2195552587509155,0.3486393988132477,0.000125,1.8178216218948364,1.2139543294906616,0.41163673996925354,1.7210288047790527
39,1.2203444242477417,0.3489081561565399,0.000125,1.8269879817962646,1.2160308361053467,0.4119415283203125,1.7320200204849243
40,1.2180755138397217,0.34206444025039673,6.25e-05,1.8245863914489746,1.214694857597351,0.4117799699306488,1.7321256399154663
41,1.2157835960388184,0.3498592972755432,6.25e-05,1.7927334308624268,1.2119542360305786,0.411892831325531,1.7201611995697021
