epoch,loss,lr,mae,val_loss,val_mae
0,19.34781265258789,0.001,1.8035112619400024,1.51173734664917,2.1036505699157715
1,1.350894570350647,0.001,2.1436240673065186,1.454100251197815,2.019942045211792
2,1.2124462127685547,0.001,2.1046621799468994,1.2435433864593506,2.057631015777588
3,1.1406751871109009,0.001,2.1074585914611816,1.1765336990356445,2.0193421840667725
4,1.091925024986267,0.001,2.062986135482788,1.1429195404052734,1.9734077453613281
5,1.0497642755508423,0.001,2.008263111114502,1.0886385440826416,1.924682378768921
6,1.0170865058898926,0.001,1.9845739603042603,1.0690776109695435,1.9042123556137085
7,1.0016642808914185,0.001,1.9307917356491089,1.0451160669326782,1.8789845705032349
8,0.9688524603843689,0.001,1.9508544206619263,1.0538080930709839,1.8445502519607544
9,0.9459060430526733,0.001,1.9199557304382324,1.0232081413269043,1.8327279090881348
10,0.928977906703949,0.001,1.9269227981567383,1.1629164218902588,1.8471035957336426
11,0.9257684350013733,0.001,1.8968441486358643,1.0173534154891968,1.8622450828552246
12,0.9119764566421509,0.001,1.8492406606674194,1.008196473121643,1.7811955213546753
13,0.8900508284568787,0.001,1.8512071371078491,0.9862446784973145,1.7833256721496582
14,0.8966333270072937,0.001,1.8528598546981812,0.9898934960365295,1.7630937099456787
15,0.8853156566619873,0.001,1.8568202257156372,1.0661661624908447,1.7426763772964478
16,0.882256031036377,0.001,1.8224270343780518,1.0298038721084595,1.7663135528564453
17,0.8621412515640259,0.0005,1.832183837890625,1.0920583009719849,1.747394323348999
18,0.8424299955368042,0.0005,1.8357021808624268,1.0760334730148315,1.7466368675231934
19,0.8262162208557129,0.0005,1.8462839126586914,1.170953631401062,1.700420618057251
20,0.8365339040756226,0.00025,1.8187272548675537,1.2246317863464355,1.77743399143219
21,0.8387579917907715,0.00025,1.8260811567306519,1.256610631942749,1.8002523183822632
