epoch,learning_rate,loss,mae,si_snr_tf,val_loss,val_mae,val_si_snr_tf
0,0.0003000000142492354,0.01341810543090105,0.013418104499578476,10.963655471801758,0.05220493674278259,0.052204933017492294,-23.327852249145508
1,0.0003000000142492354,0.011083845980465412,0.011083845980465412,12.265375137329102,0.047817010432481766,0.047817010432481766,-21.313491821289062
2,0.0003000000142492354,0.010218797251582146,0.010218797251582146,12.486515998840332,0.044983647763729095,0.044983647763729095,-21.29184913635254
3,0.0003000000142492354,0.009829306975007057,0.009829306043684483,12.691534996032715,0.04933799430727959,0.04933799430727959,-20.567062377929688
4,0.0003000000142492354,0.009580230340361595,0.009580230340361595,12.813497543334961,0.04869404062628746,0.04869403690099716,-20.675329208374023
5,0.0001500000071246177,0.009325084276497364,0.009325085207819939,12.888575553894043,0.04989159479737282,0.04989159479737282,-20.043338775634766
6,0.0001500000071246177,0.008946314454078674,0.008946315385401249,13.078760147094727,0.04867049679160118,0.04867049679160118,-19.72702980041504
7,0.0001500000071246177,0.008881587535142899,0.008881587535142899,13.146988868713379,0.04910852015018463,0.04910851642489433,-19.60581398010254
8,7.500000356230885e-05,0.008811323903501034,0.008811324834823608,13.162537574768066,0.04842963069677353,0.04842963069677353,-19.73464012145996
9,7.500000356230885e-05,0.00867617130279541,0.00867617130279541,13.262877464294434,0.049328871071338654,0.049328871071338654,-20.57769012451172
