epoch,learning_rate,loss,mae,si_snr_tf,val_loss,val_mae,val_si_snr_tf
0,0.0010000000474974513,0.013568447902798653,0.013568447902798653,16.642578125,0.05559135973453522,0.05559135600924492,-22.015016555786133
1,0.0010000000474974513,0.00876660831272602,0.008766607381403446,21.78919219970703,0.05864446982741356,0.05864446982741356,-22.507104873657227
2,0.0010000000474974513,0.008197969757020473,0.008197968825697899,22.795516967773438,0.0878453478217125,0.0878453329205513,-28.255868911743164
3,0.0010000000474974513,0.007687660399824381,0.0076876613311469555,23.921634674072266,0.05628807842731476,0.05628807470202446,-21.49156379699707
4,0.0005000000237487257,0.006755307782441378,0.006755307782441378,27.642847061157227,0.055076953023672104,0.05507694557309151,-22.152353286743164
5,0.0005000000237487257,0.006467138882726431,0.006467139348387718,28.62423324584961,0.05559484288096428,0.05559484288096428,-21.923330307006836
6,0.0005000000237487257,0.006350175943225622,0.006350175943225622,28.976667404174805,0.055203672498464584,0.055203672498464584,-21.83026123046875
7,0.0005000000237487257,0.0063180760480463505,0.006318076513707638,29.190570831298828,0.055754419416189194,0.055754419416189194,-22.18271827697754
8,0.0002500000118743628,0.006019279360771179,0.006019279360771179,31.340654373168945,0.05592738464474678,0.05592738464474678,-22.072160720825195
9,0.0002500000118743628,0.005983335897326469,0.005983336828649044,31.686378479003906,0.055770620703697205,0.055770620703697205,-21.426725387573242
10,0.0002500000118743628,0.0059161316603422165,0.0059161316603422165,32.19845962524414,0.055559590458869934,0.055559590458869934,-21.827688217163086
11,0.0001250000059371814,0.005826092790812254,0.005826092790812254,33.09674835205078,0.0559421069920063,0.0559421069920063,-22.81752586364746
