epoch,delta_abs_mean,loss,lr,mae,val_delta_abs_mean,val_loss,val_mae
0,1.2319291830062866,0.6689211130142212,0.001,1.7390931844711304,1.3037058115005493,0.5622262358665466,1.8322049379348755
1,1.2912039756774902,0.5131015181541443,0.001,1.9151936769485474,1.29457688331604,0.5214475393295288,1.7797375917434692
2,1.2972697019577026,0.486579030752182,0.001,1.957719326019287,1.3220106363296509,0.498191773891449,1.9575506448745728
3,1.308187484741211,0.46688246726989746,0.001,1.991816759109497,1.3227850198745728,0.47953087091445923,1.9051512479782104
4,1.3139691352844238,0.45429039001464844,0.001,1.9980794191360474,1.310463547706604,0.46975645422935486,1.9515798091888428
5,1.3149629831314087,0.4465789198875427,0.001,2.0118818283081055,1.316636323928833,0.4654217064380646,1.9875141382217407
6,1.3147133588790894,0.4366033971309662,0.001,2.009054660797119,1.317430019378662,0.45208975672721863,1.8929738998413086
7,1.3123629093170166,0.42899036407470703,0.001,2.017012357711792,1.302493691444397,0.4506038427352905,1.9324933290481567
8,1.3089098930358887,0.4264374077320099,0.001,1.9953830242156982,1.3130598068237305,0.4511139690876007,1.9343682527542114
9,1.3088188171386719,0.41645872592926025,0.001,2.016057014465332,1.3054718971252441,0.44179847836494446,1.92991304397583
10,1.3027138710021973,0.41563332080841064,0.001,2.0103349685668945,1.3020960092544556,0.44169485569000244,1.8160274028778076
11,1.3012012243270874,0.41063404083251953,0.001,1.993406891822815,1.295762538909912,0.43504446744918823,1.8938424587249756
12,1.2987679243087769,0.4055103063583374,0.001,2.0106277465820312,1.2836201190948486,0.4337087869644165,1.9491596221923828
13,1.2962779998779297,0.4054504930973053,0.001,2.00754714012146,1.2983226776123047,0.4298247694969177,1.9239450693130493
14,1.2958145141601562,0.39975857734680176,0.001,2.0067965984344482,1.293320894241333,0.42996346950531006,1.869524598121643
15,1.293758749961853,0.4009392261505127,0.001,2.0035810470581055,1.2933578491210938,0.4285094141960144,1.8946306705474854
16,1.2937085628509521,0.39803582429885864,0.001,1.9946932792663574,1.294142484664917,0.42727720737457275,1.9519902467727661
17,1.2878763675689697,0.3993971347808838,0.001,1.9696803092956543,1.2970939874649048,0.4281231462955475,1.9179209470748901
18,1.2865791320800781,0.389545738697052,0.001,1.986437201499939,1.275528907775879,0.4268867075443268,1.8914604187011719
19,1.2803877592086792,0.3857487142086029,0.001,1.9783356189727783,1.2740581035614014,0.42188772559165955,1.8891587257385254
20,1.2812778949737549,0.3870401382446289,0.001,1.9860376119613647,1.280380129814148,0.42100992798805237,1.895729660987854
21,1.278643012046814,0.3891738951206207,0.001,1.9984744787216187,1.2795449495315552,0.41899168491363525,1.9213000535964966
22,1.27350914478302,0.3826279938220978,0.001,1.9796416759490967,1.2659231424331665,0.4243317246437073,1.838773488998413
23,1.2688837051391602,0.3761603832244873,0.001,1.9859824180603027,1.2649461030960083,0.41806694865226746,1.8912642002105713
24,1.265633463859558,0.3777923882007599,0.001,1.983556866645813,1.2754335403442383,0.4195478856563568,1.8961265087127686
25,1.2646640539169312,0.3755747973918915,0.001,1.9705555438995361,1.2597616910934448,0.42322033643722534,1.8680825233459473
26,1.2605036497116089,0.3736593425273895,0.001,1.9821888208389282,1.2534376382827759,0.420089989900589,1.8577851057052612
27,1.2518799304962158,0.36600810289382935,0.0005,1.9664913415908813,1.2460241317749023,0.4150215983390808,1.8820257186889648
28,1.2480769157409668,0.3646811246871948,0.0005,1.9565340280532837,1.2496165037155151,0.414028137922287,1.8853843212127686
29,1.2466930150985718,0.3649558424949646,0.0005,1.955274224281311,1.2440568208694458,0.41293713450431824,1.8774079084396362
30,1.2444183826446533,0.35942915081977844,0.0005,1.9659291505813599,1.2381702661514282,0.41572967171669006,1.8836948871612549
31,1.2394906282424927,0.36070892214775085,0.0005,1.9415502548217773,1.2375396490097046,0.4132893681526184,1.8294564485549927
32,1.239288568496704,0.3593352735042572,0.0005,1.948244333267212,1.233853816986084,0.4123813509941101,1.8102470636367798
33,1.2350925207138062,0.3565114438533783,0.0005,1.9520503282546997,1.2310131788253784,0.41420280933380127,1.8639612197875977
34,1.2295886278152466,0.36042389273643494,0.0005,1.9316327571868896,1.229435920715332,0.414386123418808,1.8932883739471436
35,1.2271531820297241,0.3582174777984619,0.0005,1.9207230806350708,1.2282869815826416,0.41373422741889954,1.8798909187316895
36,1.2228827476501465,0.35258832573890686,0.00025,1.9189714193344116,1.2172393798828125,0.41218242049217224,1.836631178855896
37,1.2202796936035156,0.3458437919616699,0.00025,1.9392626285552979,1.2168149948120117,0.4124067723751068,1.8252508640289307
38,1.2174285650253296,0.3507887125015259,0.00025,1.9130958318710327,1.217616319656372,0.4119008481502533,1.8373693227767944
39,1.2141536474227905,0.3470815122127533,0.00025,1.904471516609192,1.211470603942871,0.41259390115737915,1.8039530515670776
40,1.2126483917236328,0.35307684540748596,0.00025,1.87284517288208,1.2105991840362549,0.413369357585907,1.824530839920044
41,1.210844874382019,0.34910687804222107,0.00025,1.8899502754211426,1.2091732025146484,0.4136461317539215,1.807708740234375
42,1.2110037803649902,0.3406274616718292,0.000125,1.9083136320114136,1.2067980766296387,0.4129914343357086,1.811814308166504
43,1.2084746360778809,0.34430739283561707,0.000125,1.8867857456207275,1.2062668800354004,0.4127846360206604,1.8177064657211304
44,1.2077126502990723,0.342622846364975,0.000125,1.8959606885910034,1.202336311340332,0.4131850600242615,1.7815051078796387
45,1.2072235345840454,0.3357338309288025,6.25e-05,1.9031376838684082,1.2029081583023071,0.4122522175312042,1.8044542074203491
46,1.2058526277542114,0.3387763798236847,6.25e-05,1.898256778717041,1.2006274461746216,0.41235750913619995,1.8101556301116943
