epoch,learning_rate,loss,mae,si_snr_tf,val_loss,val_mae,val_si_snr_tf
0,0.0003000000142492354,0.04464604705572128,0.04464604705572128,-36.84652328491211,0.03840490058064461,0.03840489685535431,-9.633302688598633
1,0.0003000000142492354,0.03822441026568413,0.03822441026568413,-36.312522888183594,0.03877446427941322,0.03877446427941322,-23.881263732910156
2,0.0003000000142492354,0.03791198134422302,0.03791198134422302,-36.00404357910156,0.04131771996617317,0.04131771996617317,-15.257823944091797
3,0.0001500000071246177,0.03793782740831375,0.03793782740831375,-35.540061950683594,0.03832903131842613,0.03832903131842613,-5.63136625289917
4,0.0001500000071246177,0.037704069167375565,0.037704069167375565,-34.01826858520508,0.03814303129911423,0.038143035024404526,-5.278084754943848
5,0.0001500000071246177,0.0377080962061882,0.0377080962061882,-33.892173767089844,0.03798167407512665,0.03798167407512665,-2.8562746047973633
6,0.0001500000071246177,0.03773162513971329,0.03773162513971329,-33.87752914428711,0.038472551852464676,0.038472551852464676,-6.00695276260376
7,0.0001500000071246177,0.037703853100538254,0.037703853100538254,-33.6937141418457,0.038667891174554825,0.038667887449264526,-7.039580821990967
8,7.500000356230885e-05,0.03771056607365608,0.03771056607365608,-33.789913177490234,0.03845522552728653,0.03845522180199623,-6.563528060913086
9,7.500000356230885e-05,0.03765128180384636,0.03765128180384636,-32.974124908447266,0.03821789473295212,0.038217898458242416,-3.2025880813598633
10,7.500000356230885e-05,0.03766028955578804,0.03766028955578804,-33.30421829223633,0.038121748715639114,0.038121744990348816,-3.6481106281280518
11,3.7500001781154424e-05,0.03767430782318115,0.03767430782318115,-33.262237548828125,0.03798500820994377,0.03798500820994377,-3.3653409481048584
12,3.7500001781154424e-05,0.03763691708445549,0.03763691708445549,-32.733341217041016,0.038157302886247635,0.038157302886247635,-2.5222041606903076
