epoch,delta_abs_mean,loss,lr,mae,val_delta_abs_mean,val_loss,val_mae
0,1.1381335258483887,0.6559101343154907,0.001,1.3328227996826172,1.1559513807296753,0.5499425530433655,1.4929739236831665
1,1.1909077167510986,0.5149380564689636,0.001,1.4645335674285889,1.250736951828003,0.5132995247840881,1.9067835807800293
2,1.2554177045822144,0.4729042053222656,0.001,2.1356236934661865,1.2577720880508423,0.490168958902359,2.0407931804656982
3,1.2487646341323853,0.46210673451423645,0.001,2.148742198944092,1.2548201084136963,0.4708636999130249,2.09208607673645
4,1.2442940473556519,0.4466839134693146,0.001,2.1333835124969482,1.262365460395813,0.46683168411254883,2.0966708660125732
5,1.2653917074203491,0.4406009018421173,0.001,2.1974475383758545,1.2763956785202026,0.45476022362709045,2.1417429447174072
6,1.2701812982559204,0.42981284856796265,0.001,2.235065460205078,1.2792614698410034,0.45343872904777527,2.1429262161254883
7,1.2759974002838135,0.42593732476234436,0.001,2.2420051097869873,1.2836754322052002,0.44331249594688416,2.14493989944458
8,1.273400068283081,0.41362351179122925,0.001,2.2605338096618652,1.272877812385559,0.4404835104942322,2.1349291801452637
9,1.2729724645614624,0.41617268323898315,0.001,2.2353949546813965,1.2665865421295166,0.437673956155777,2.1363935470581055
10,1.2647498846054077,0.4146154224872589,0.001,2.211789608001709,1.2534210681915283,0.43139582872390747,2.1243929862976074
11,1.2583253383636475,0.40459269285202026,0.001,2.229203224182129,1.2669719457626343,0.43046340346336365,2.1465182304382324
12,1.2558362483978271,0.398038387298584,0.001,2.2469899654388428,1.2563399076461792,0.43585777282714844,2.1574203968048096
13,1.2533519268035889,0.40581169724464417,0.001,2.220524311065674,1.2507556676864624,0.43091869354248047,2.120065927505493
14,1.2475570440292358,0.39235490560531616,0.001,2.220510959625244,1.2544742822647095,0.4232533276081085,2.1328678131103516
15,1.247689127922058,0.3960491716861725,0.001,2.213602066040039,1.2544543743133545,0.4267479181289673,2.136975049972534
16,1.2534587383270264,0.39185693860054016,0.001,2.2260842323303223,1.2484382390975952,0.42605701088905334,2.12667179107666
17,1.2469265460968018,0.38796237111091614,0.001,2.2253153324127197,1.2591009140014648,0.41882771253585815,2.1476364135742188
18,1.2403323650360107,0.38287582993507385,0.001,2.215048313140869,1.235888957977295,0.422288179397583,2.0784194469451904
19,1.2374114990234375,0.38078051805496216,0.001,2.1972718238830566,1.230419635772705,0.4209330976009369,2.0554893016815186
20,1.2307405471801758,0.3862594664096832,0.001,2.152250289916992,1.2280247211456299,0.4208794832229614,2.0457749366760254
21,1.229259729385376,0.37442734837532043,0.0005,2.1640734672546387,1.2317456007003784,0.41336575150489807,2.0821642875671387
22,1.231345772743225,0.37429720163345337,0.0005,2.172161340713501,1.2358371019363403,0.41222065687179565,2.114675521850586
23,1.2318518161773682,0.37433767318725586,0.0005,2.1814324855804443,1.2325623035430908,0.41339412331581116,2.0895614624023438
24,1.228566288948059,0.3671083450317383,0.0005,2.2019457817077637,1.228983759880066,0.4132605791091919,2.1133899688720703
25,1.2266390323638916,0.36562803387641907,0.0005,2.1899945735931396,1.223170518875122,0.41735002398490906,2.0775697231292725
26,1.2224881649017334,0.3563691973686218,0.00025,2.205029010772705,1.2266079187393188,0.41063547134399414,2.1020679473876953
27,1.222467303276062,0.36150142550468445,0.00025,2.187742233276367,1.2294625043869019,0.41104719042778015,2.099376916885376
28,1.2247804403305054,0.3591972291469574,0.00025,2.193082332611084,1.224596619606018,0.41015708446502686,2.102905035018921
29,1.2238543033599854,0.36060550808906555,0.00025,2.2025420665740967,1.2293305397033691,0.41209858655929565,2.1066157817840576
30,1.2240550518035889,0.36470261216163635,0.00025,2.1810050010681152,1.2305392026901245,0.4108164608478546,2.1166179180145264
31,1.2272089719772339,0.36363485455513,0.00025,2.1971781253814697,1.2320345640182495,0.40995246171951294,2.1174821853637695
32,1.2265900373458862,0.35938456654548645,0.00025,2.208198308944702,1.2324588298797607,0.41025176644325256,2.1277709007263184
33,1.2258751392364502,0.355596661567688,0.00025,2.2270381450653076,1.2299013137817383,0.4098166823387146,2.1189141273498535
34,1.2258182764053345,0.3604719042778015,0.00025,2.2094531059265137,1.2274961471557617,0.4104776978492737,2.118648052215576
35,1.2256379127502441,0.3577057719230652,0.00025,2.2087349891662598,1.2351961135864258,0.4102233946323395,2.1376514434814453
36,1.226646065711975,0.3561294674873352,0.00025,2.227121591567993,1.2326122522354126,0.41043150424957275,2.1308376789093018
37,1.2266508340835571,0.35299524664878845,0.000125,2.223588466644287,1.2308502197265625,0.40934231877326965,2.133230209350586
38,1.2251067161560059,0.35489964485168457,0.000125,2.215562343597412,1.2314497232437134,0.40887951850891113,2.1363749504089355
39,1.226128101348877,0.3605475127696991,0.000125,2.201810121536255,1.2300772666931152,0.4098759591579437,2.1450228691101074
40,1.2259405851364136,0.3540404736995697,0.000125,2.230846643447876,1.2301744222640991,0.4090922474861145,2.14167857170105
